"CNK","CODEUNITEQUANTITE"
"0579219",0
"0588954",0
"0511642",0
"0535062",0
"0554022",0
"0567396",0
"0501890",0
"0554386",1
"0567172",1
"0567180",1
"0571695",0
"0571711",0
"0571729",0
"0571737",0
"0571745",0
"0571794",0
"0571802",0
"0571844",0
"0571851",0
"0571885",0
"0571893",0
"0571919",0
"0571927",0
"0571935",0
"0571943",0
"0571141",0
"0571158",8
"0571166",0
"0571174",0
"0571182",0
"0571190",0
"0571232",0
"0571240",0
"0571257",0
"0571273",0
"0571299",0
"0571315",0
"0571323",0
"0571331",0
"0571349",0
"0571356",0
"0571364",0
"0571380",0
"0571398",0
"0571406",0
"0571414",8
"0571422",0
"0571430",0
"0571448",0
"0571455",0
"0571463",0
"0571471",0
"0571497",0
"0571505",0
"0571513",0
"0571521",0
"0571539",0
"0571547",0
"0571554",0
"0571562",0
"0571570",0
"0571588",0
"0571604",8
"0571612",0
"0571620",0
"0571638",0
"0571646",0
"0571653",0
"0571661",0
"0571679",0
"0571687",0
"0575795",0
"0575878",0
"0576181",0
"0576199",0
"0576207",0
"0576256",0
"0573782",0
"0572487",0
"0572495",0
"0572503",0
"0572511",0
"0572529",0
"0572545",0
"0572552",0
"0572560",0
"0572578",0
"0572586",0
"0572594",0
"0572636",0
"0572644",0
"0572651",0
"0572669",0
"0572685",0
"0572693",0
"0572701",0
"0572719",0
"0572727",0
"0572743",0
"0572750",0
"0572768",0
"0572776",0
"0572784",0
"0572800",0
"0572818",0
"0572826",0
"0572842",0
"0572859",0
"0572867",0
"0572875",0
"0572883",0
"0572909",0
"0572917",0
"0572933",0
"0572941",0
"0572990",0
"0573006",0
"0573014",0
"0573089",0
"0573139",0
"0573550",0
"0573576",8
"0573584",8
"0573592",8
"0573600",8
"0573618",8
"0573626",8
"0573634",8
"0573642",8
"0573667",0
"0573675",0
"0573683",0
"0573691",0
"0573709",0
"0573717",0
"0573725",8
"0573733",0
"0573741",0
"0573766",8
"0573774",8
"0572479",0
"0571109",0
"0571117",0
"0571125",0
"0571133",0
"0574186",0
"0574194",0
"0574285",0
"0574327",0
"0574335",0
"0574343",0
"0574368",0
"0574384",0
"0574392",0
"0574418",0
"0574467",0
"0574509",0
"0574590",0
"0575001",8
"0575019",8
"0575027",8
"0575068",8
"0575076",8
"0575084",8
"0575092",8
"0575100",8
"0575118",8
"0575126",8
"0575217",0
"0575316",0
"0575621",0
"0575662",0
"0575720",0
"0576942",0
"0577205",0
"0577213",0
"0577221",0
"0577551",0
"0577916",0
"0578120",0
"0578369",0
"0578609",0
"0578872",0
"0578880",0
"0579045",0
"0579052",0
"0579425",0
"0582502",0
"0582510",0
"0582528",0
"0582544",0
"0582791",0
"0582858",0
"0582882",0
"0582908",0
"0583138",0
"0583187",0
"0583203",0
"0583336",0
"0583344",0
"0583492",0
"0584003",0
"0584201",0
"0584219",0
"0584227",0
"0584235",0
"0584631",0
"0584938",0
"0585109",0
"0585471",0
"0585489",0
"0586586",0
"0586594",0
"0586610",0
"0586628",0
"0586636",0
"0586669",0
"0586743",0
"0586750",0
"0586768",0
"0586776",0
"0586818",0
"0586826",0
"0586834",0
"0576546",0
"0586842",0
"0586859",0
"0573790",8
"0573808",8
"0573816",8
"0573824",0
"0573840",0
"0573857",8
"0573865",8
"0573873",8
"0569715",1
"0573881",8
"0573899",8
"0573907",8
"0573915",8
"0573923",0
"0573931",0
"0573949",0
"0573956",8
"0573964",0
"0573972",8
"0573980",8
"0573998",8
"0574004",0
"0574012",8
"0574020",8
"0574038",8
"0574046",8
"0574053",8
"0574061",8
"0574087",8
"0574095",8
"0574103",8
"0574111",8
"0574129",0
"0574137",0
"0574145",0
"0574152",8
"0574160",8
"0574178",0
"0588343",0
"0588368",0
"0588376",0
"0588384",0
"0588392",0
"0588400",0
"0588418",0
"0588426",0
"0588434",0
"0588442",0
"0588459",0
"0588467",0
"0588483",0
"0588491",0
"0588509",0
"0588517",0
"0588525",0
"0588533",0
"0588541",0
"0588558",0
"0588566",0
"0588574",0
"0588822",0
"0588830",0
"0588848",0
"0588863",0
"0588871",0
"0588889",0
"0588897",0
"0588905",0
"0588913",0
"0588921",0
"0588939",0
"0590000",1
"0590018",8
"0587857",0
"0586941",0
"0586958",0
"0586966",0
"0586982",0
"0587063",0
"0587071",0
"0587089",0
"0587105",0
"0587113",0
"0587121",0
"0587139",0
"0587147",0
"0587154",0
"0587162",0
"0587170",0
"0587188",0
"0587196",0
"0587204",0
"0587220",0
"0587238",0
"0587246",0
"0587253",0
"0587261",0
"0587279",0
"0587287",0
"0587295",0
"0587303",0
"0587311",0
"0587337",0
"0587345",0
"0587352",0
"0587360",0
"0587378",0
"0587386",0
"0587394",0
"0587402",0
"0587428",0
"0587436",0
"0587444",0
"0587469",0
"0587477",0
"0587485",0
"0587493",0
"0587501",0
"0587519",0
"0587527",0
"0587535",0
"0587543",0
"0587550",0
"0587584",0
"0587592",0
"0587600",0
"0587618",0
"0587626",0
"0587634",0
"0587642",0
"0587659",0
"0587667",0
"0587675",0
"0587683",0
"0587691",0
"0587709",0
"0587725",0
"0587733",0
"0587741",0
"0587758",0
"0587766",0
"0587774",0
"0587782",0
"0587790",0
"0587808",0
"0587816",0
"0587824",0
"0587840",0
"0586925",0
"0576793",0
"0588277",0
"0588285",0
"0588293",0
"0588301",0
"0588319",0
"0588327",0
"0588335",0
"0590174",8
"0590190",0
"0590208",8
"0590216",0
"0590224",0
"0590232",0
"0590240",0
"0590257",0
"0590265",0
"0590273",0
"0590299",0
"0590307",0
"0590331",0
"0590356",0
"0590364",0
"0590372",8
"0590380",0
"0590398",0
"0590406",0
"0590414",0
"0590422",0
"0590448",0
"0590521",8
"0590687",0
"0590794",8
"0590836",8
"0590927",0
"0590976",8
"0591008",0
"0591248",8
"0591479",0
"0591552",8
"0591677",0
"0591685",0
"0591693",0
"0591909",8
"0591958",8
"0591966",0
"0591974",8
"0592121",0
"0592139",8
